id,source_file,window_start,window_end,start_time,end_time,caption,question,answer,risk_level,driving_style,llm_model,generation_status
obd_0000,2025-03-31 13_35_12.csv,0,23,2025-03-31 13:35:13.112967,2025-03-31 13:35:36.114185,Janela de conducao com velocidade media de 0.2 km/h e RPM medio de 994.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,congestionado,gemma3:12b,fallback
obd_0001,2025-03-31 13_35_12.csv,24,47,2025-03-31 13:35:37.112890,2025-03-31 13:36:00.111807,Janela de conducao com velocidade media de 5.5 km/h e RPM medio de 1169.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,congestionado,gemma3:12b,fallback
obd_0002,2025-03-31 13_35_12.csv,48,71,2025-03-31 13:36:01.112750,2025-03-31 13:36:24.113073,Janela de conducao com velocidade media de 14.7 km/h e RPM medio de 1078.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0003,2025-03-31 13_35_12.csv,72,95,2025-03-31 13:36:25.113071,2025-03-31 13:36:48.113049,Janela de conducao com velocidade media de 10.1 km/h e RPM medio de 1071.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0004,2025-03-31 13_35_12.csv,96,119,2025-03-31 13:36:49.111913,2025-03-31 13:37:12.113436,Janela de conducao com velocidade media de 15.8 km/h e RPM medio de 1314.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0005,2025-03-31 13_35_12.csv,120,143,2025-03-31 13:37:13.112487,2025-03-31 13:37:36.114172,Janela de conducao com velocidade media de 44.3 km/h e RPM medio de 1882.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0006,2025-03-31 13_35_12.csv,144,167,2025-03-31 13:37:37.114324,2025-03-31 13:38:00.112569,Janela de conducao com velocidade media de 38.8 km/h e RPM medio de 1616.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0007,2025-03-31 13_35_12.csv,168,191,2025-03-31 13:38:01.113348,2025-03-31 13:38:24.112378,Janela de conducao com velocidade media de 61.6 km/h e RPM medio de 1639.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0008,2025-03-31 13_35_12.csv,192,215,2025-03-31 13:38:25.115068,2025-03-31 13:38:48.112576,Janela de conducao com velocidade media de 12.5 km/h e RPM medio de 1268.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0009,2025-03-31 13_35_12.csv,216,239,2025-03-31 13:38:49.111741,2025-03-31 13:39:12.114123,Janela de conducao com velocidade media de 25.5 km/h e RPM medio de 1360.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0010,2025-03-31 13_35_12.csv,240,263,2025-03-31 13:39:13.114850,2025-03-31 13:39:36.115792,Janela de conducao com velocidade media de 34.4 km/h e RPM medio de 1671.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
obd_0011,2025-03-31 13_35_12.csv,264,287,2025-03-31 13:39:37.113127,2025-03-31 13:40:00.112401,Janela de conducao com velocidade media de 28.6 km/h e RPM medio de 1699.,O comportamento de conducao indica potencial de maior consumo de combustivel?,"Os sinais sugerem condução estável na maior parte da janela, com baixo risco imediato.",baixo,normal,gemma3:12b,fallback
