id,source_file,window_start,window_end,start_time,end_time,caption,question,answer,risk_level,driving_style,llm_model,generation_status
obd_000001,new_data\creta_natal_jardim.csv,0,23,01-Nov-2024 15:54:29.535,01-Nov-2024 15:54:52.535,Análise de Condução,"Com base nos dados, qual a avaliação geral do estilo de direção e do estado do veículo?","Velocidade média baixa (5.71 km/h) e RPM constante (900.48) sugerem condução em baixa velocidade, possivelmente urbana. Carga do motor e posição do acelerador indicam uso moderado. Nível de combustível adequado (52.76%).",baixo,congestionado,gemma3:27b,ok
obd_000002,new_data\creta_natal_jardim.csv,48,71,01-Nov-2024 15:55:17.534,01-Nov-2024 15:55:40.534,Análise de Condução,"Com base nos dados de velocidade, RPM, carga do motor e posição do acelerador, qual a avaliação do estilo de condução e do risco associado?","Estilo de condução normal, com baixo risco. A velocidade média é baixa (4.42 km/h) e o RPM médio (830.23) sugere uma condução suave. A carga do motor (26.26%) e a posição do acelerador (13.77%) indicam uso moderado do motor.",baixo,normal,gemma3:27b,ok
obd_000003,new_data\dados_app2car.csv,0,23,0,23,"Janela com velocidade media de 0.0 km/h, RPM medio de 0, carga 0%, acelerador 0% e paradas 100%.",O comportamento do veiculo indica baixa fluidez no transito?,Velocidade baixa e pouca variacao sugerem transito lento e paradas frequentes.,baixo,congestionado,gemma3:27b,fallback
obd_000004,new_data\dados_app2car.csv,48,71,48,71,Dados Estáveis,"Com base nos dados de velocidade, RPM, carga do motor, posição do acelerador e nível de combustível, qual a avaliação do estado do veículo?","Os dados indicam que o veículo está em repouso ou em movimento muito lento, com baixa demanda do motor e nível de combustível estável. Não há indícios de problemas aparentes.",baixo,economico,gemma3:27b,ok
obd_000005,new_data\dados_app2car_27.csv,0,23,0,23,Dados do Veículo,"Com base nos dados fornecidos, qual a avaliação geral do comportamento do veículo?","Sem dados estatísticos significativos (todos os valores são zero), não é possível determinar o estado ou comportamento do veículo. Falta informação para diagnóstico.",baixo,economico,gemma3:27b,ok
obd_000006,new_data\dados_app2car_27.csv,48,71,48,71,Análise de Dados OBD-II,"Considerando a ausência de dados significativos (todos os valores estatísticos zerados), qual a possível interpretação?","Provavelmente, o veículo estava desligado ou os sensores não estavam registrando dados durante o intervalo analisado (48-71). É necessário verificar a conexão dos sensores e confirmar se o veículo estava em funcionamento.",baixo,congestionado,gemma3:27b,ok
obd_000007,new_data\Etanol\trackLog-2023-Feb-13_06-38-49_seg.csv,0,23,13-Feb-2023 06:39:18.976,13-Feb-2023 06:39:41.978,Análise de Trajeto,"Com base nos dados, como você descreveria o estilo de direção e o nível de risco associado?","O estilo de direção parece ser normal, com velocidades médias baixas e carga do motor moderada. O nível de risco é baixo, considerando a velocidade e o controle do veículo.",baixo,normal,gemma3:27b,ok
obd_000008,new_data\Etanol\trackLog-2023-Feb-13_06-38-49_seg.csv,48,71,13-Feb-2023 06:40:06.978,13-Feb-2023 06:40:29.978,Análise de Condução,"Considerando a velocidade média de 24 km/h, RPM médio de 1658 e carga do motor em torno de 54%, qual o estilo de direção predominante e o nível de risco associado?","O estilo de direção é normal, com nível de risco baixo. A velocidade e RPM indicam condução moderada, e a carga do motor não sugere esforço excessivo.",baixo,normal,gemma3:27b,ok
obd_000009,new_data\Etanol\trackLog-2023-Feb-15_06-39-28_qua.csv,0,23,15-Feb-2023 06:40:01.139,15-Feb-2023 06:40:24.136,Análise de Dados OBD-II,"Considerando a velocidade média de 10.88 km/h, RPM médio de 1419 e carga do motor de 43.58%, qual a avaliação do estilo de condução e o risco associado?","Estilo de condução normal, com baixo risco. A velocidade e o RPM indicam um uso moderado do veículo, sem acelerações ou frenagens bruscas.",baixo,normal,gemma3:27b,ok
obd_000010,new_data\Etanol\trackLog-2023-Feb-15_06-39-28_qua.csv,48,71,15-Feb-2023 06:40:49.137,15-Feb-2023 06:41:12.140,Análise de Dados OBD-II,"Considerando a velocidade média, RPM e carga do motor, qual a possível condição de condução e o nível de risco associado?","Condução normal com baixo risco. A velocidade média de 12.29 km/h, RPM médio de 1425 e carga moderada indicam um uso regular do veículo.",baixo,normal,gemma3:27b,ok
obd_000011,new_data\Etanol\trackLog-2023-Feb-17_06-35-37_sex.csv,0,23,17-Feb-2023 06:36:16.967,17-Feb-2023 06:36:39.967,Análise de Telemetria,"Considerando a velocidade média de 14km/h, RPM médio de 1367, e uma carga do motor relativamente baixa (43.6%), como você descreveria o estilo de direção predominante?","O estilo de direção parece ser predominantemente normal, com foco em condução urbana ou em trechos que não exigem alta performance. A variação de RPM e a taxa de consumo de combustível indicam um uso moderado do veículo.",baixo,normal,gemma3:27b,ok
obd_000012,new_data\Etanol\trackLog-2023-Feb-17_06-35-37_sex.csv,48,71,17-Feb-2023 06:37:04.970,17-Feb-2023 06:37:27.971,Análise de Condução,"Considerando a velocidade média de 15.12 km/h, RPM médio de 1570 e carga do motor em torno de 51.72%, como caracterizar o estilo de direção?","O estilo de direção é normal, com uso moderado do motor e velocidade compatível com tráfego urbano ou rodoviário leve.",baixo,normal,gemma3:27b,ok
obd_000013,new_data\Etanol\trackLog-2023-Feb-28_06-37-04_ter.csv,0,23,28-Feb-2023 06:37:57.274,28-Feb-2023 06:38:20.275,Análise de Condução,"Considerando a velocidade média de 6.54 km/h, RPM médio de 1215 e carga do motor em torno de 44%, como você descreveria o estilo de direção?","O estilo de direção é predominantemente econômico, com baixa velocidade média e uso moderado do motor.",baixo,economico,gemma3:27b,ok
obd_000014,new_data\Etanol\trackLog-2023-Feb-28_06-37-04_ter.csv,48,71,28-Feb-2023 06:38:45.272,28-Feb-2023 06:39:08.275,Análise de Dados OBD-II,"Considerando a velocidade média de 13.17 km/h, RPM médio de 1203 e carga do motor em torno de 39.62%, como você descreveria o estilo de condução?","O estilo de condução é predominantemente normal, com indicações de um uso moderado do acelerador (posição média de 16.26%) e consumo de combustível constante (taxa média de 2.53).",baixo,normal,gemma3:27b,ok
obd_000015,new_data\Etanol\trackLog-2023-Mar-03_06-41-56_sex.csv,0,23,03-Mar-2023 06:42:32.051,03-Mar-2023 06:42:55.050,Análise de Dados OBD-II,"Com base nos dados, há indícios de condução agressiva ou problemas no sistema de combustível?",A velocidade média de 7.04 km/h e a carga do motor (40.95%) sugerem condução em tráfego urbano ou em velocidades moderadas. A posição do acelerador (15.88%) e a taxa de consumo de combustível (2.35) estão dentro de limites normais. Não há indícios fortes de problemas.,baixo,normal,gemma3:27b,ok
obd_000016,new_data\Etanol\trackLog-2023-Mar-03_06-41-56_sex.csv,48,71,03-Mar-2023 06:43:20.052,03-Mar-2023 06:43:43.052,Análise de Desempenho,"Considerando a velocidade média de 13.42 km/h, RPM médio de 1113 e uma carga do motor de 41%, como você descreveria o estilo de condução predominante?","O estilo de condução parece ser normal, com utilização moderada do motor e velocidade constante.",baixo,normal,gemma3:27b,ok
obd_000017,new_data\Etanol\trackLog-2023-Mar-06_06-43-11_seg.csv,0,23,06-Mar-2023 06:43:24.532,06-Mar-2023 06:43:47.527,Análise de dados OBD-II,"Com base nos dados de velocidade, RPM, carga do motor e posição do acelerador, qual a avaliação do estilo de condução e do risco associado?",Estilo de condução normal com risco baixo. Velocidade média de 14.75 km/h e RPM média de 1640 indicam condução moderada. A carga do motor e a posição do acelerador também suportam essa avaliação.,baixo,normal,gemma3:27b,ok
