id,source_file,window_start,window_end,start_time,end_time,caption,question,answer,risk_level,driving_style,llm_model,generation_status
obd_000001,new_data/Etanol/trackLog-2023-Feb-13_06-38-49_seg.csv,0,23,13-Feb-2023 06:39:18.976,13-Feb-2023 06:39:41.978,"Janela com velocidade media de 7.3 km/h, RPM medio de 1220, carga 45%, acelerador 16% e paradas 12%.",Ha sinais de condução dentro do padrao normal?,"O trecho parece estável, com demanda moderada do motor.",baixo,normal,gemma3:12b,template
obd_000002,new_data/Etanol/trackLog-2023-Feb-13_06-38-49_seg.csv,48,71,13-Feb-2023 06:40:06.978,13-Feb-2023 06:40:29.978,"Janela com velocidade media de 24.0 km/h, RPM medio de 1658, carga 54%, acelerador 21% e paradas 0%.",O padrao observado favorece economia de combustivel?,Pouca variacao e RPM baixo apontam para economia.,baixo,economico,gemma3:12b,template
obd_000003,new_data/Etanol/trackLog-2023-Feb-13_06-38-49_seg.csv,96,119,13-Feb-2023 06:40:54.977,13-Feb-2023 06:41:17.981,"Janela com velocidade media de 30.0 km/h, RPM medio de 1444, carga 49%, acelerador 18% e paradas 0%.",O comportamento indica foco em economia?,Velocidade moderada e RPM baixo sugerem condução mais economica.,baixo,economico,gemma3:12b,template
obd_000004,new_data/Etanol/trackLog-2023-Feb-13_06-38-49_seg.csv,144,167,13-Feb-2023 06:41:42.980,13-Feb-2023 06:42:05.980,"Janela com velocidade media de 31.8 km/h, RPM medio de 1441, carga 36%, acelerador 16% e paradas 0%.",O padrao observado favorece economia de combustivel?,Velocidade moderada e RPM baixo sugerem condução mais economica.,baixo,economico,gemma3:12b,template
obd_000005,new_data/Etanol/trackLog-2023-Feb-13_06-38-49_seg.csv,192,215,13-Feb-2023 06:42:30.980,13-Feb-2023 06:42:53.979,"Janela com velocidade media de 36.8 km/h, RPM medio de 1247, carga 42%, acelerador 16% e paradas 12%.",Este intervalo sugere estilo de conducao economico?,O trecho mostra uso moderado do motor e bom consumo.,baixo,economico,gemma3:12b,template
obd_000006,new_data/Etanol/trackLog-2023-Feb-13_06-38-49_seg.csv,240,263,13-Feb-2023 06:43:18.979,13-Feb-2023 06:43:41.980,"Janela com velocidade media de 0.0 km/h, RPM medio de 770, carga 35%, acelerador 14% e paradas 100%.",As paradas sao frequentes neste intervalo?,As paradas frequentes indicam congestionamento neste trecho.,baixo,congestionado,gemma3:12b,template
obd_000007,new_data/Etanol/trackLog-2023-Feb-14_06-34-03_ter.csv,0,23,14-Feb-2023 06:34:53.402,14-Feb-2023 06:35:16.406,"Janela com velocidade media de 13.3 km/h, RPM medio de 1290, carga 47%, acelerador 17% e paradas 0%.",O trecho mostra conducao suave e eficiente?,O trecho mostra uso moderado do motor e bom consumo.,baixo,economico,gemma3:12b,template
obd_000008,new_data/Etanol/trackLog-2023-Feb-14_06-34-03_ter.csv,48,71,14-Feb-2023 06:35:41.403,14-Feb-2023 06:36:04.401,"Janela com velocidade media de 10.0 km/h, RPM medio de 1354, carga 43%, acelerador 18% e paradas 29%.",O trecho mostra conducao suave e eficiente?,Velocidade moderada e RPM baixo sugerem condução mais economica.,baixo,economico,gemma3:12b,template
obd_000009,new_data/Etanol/trackLog-2023-Feb-14_06-34-03_ter.csv,96,119,14-Feb-2023 06:36:29.402,14-Feb-2023 06:36:52.402,"Janela com velocidade media de 0.0 km/h, RPM medio de 774, carga 38%, acelerador 14% e paradas 100%.",O trecho aparenta trafego pesado com pouca variacao de velocidade?,As paradas frequentes indicam congestionamento neste trecho.,baixo,congestionado,gemma3:12b,template
obd_000010,new_data/Etanol/trackLog-2023-Feb-14_06-34-03_ter.csv,144,167,14-Feb-2023 06:37:17.402,14-Feb-2023 06:37:40.402,"Janela com velocidade media de 15.8 km/h, RPM medio de 969, carga 30%, acelerador 14% e paradas 42%.",Ha indicios de conducao eficiente neste trecho?,Velocidade moderada e RPM baixo sugerem condução mais economica.,baixo,economico,gemma3:12b,template
